code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz000972,2016-10-18,5.840000,6.060000,5.810000,6.040000,0.036021,24699936.000000,147149988.390000,4658552817.160000,4658552817.160000,0.032024,19.732743,2016-06-30,2016-07-30,-60.009935,6.821752,-21.861721,4.515550,6.040000
sz000973,2016-10-18,8.460000,8.710000,8.460000,8.680000,0.019976,16433375.000000,141941905.610000,6705114951.080000,8397233124.280000,0.021274,32.767498,2016-06-30,2016-07-30,93.669739,2.900069,26.632874,4.089902,8.680000
sz000976,2016-10-18,9.130000,9.450000,9.110000,9.350000,0.022976,8159561.000000,75836681.310000,5483839084.900000,14919596733.250000,0.013912,34.359436,2016-06-30,2016-08-26,84.856515,8.276739,51.069454,4.127489,9.350000
sz000977,2016-10-18,24.300000,25.540000,24.300000,25.290000,-0.053518,55562144.000000,1393257833.330000,24271464268.080002,25271859837.060001,0.057894,139.607549,2016-06-30,2016-08-20,52.887591,2.397655,44.573773,6.235053,25.290000
sz000978,2016-10-18,11.300000,11.550000,11.300000,11.510000,0.018584,5736811.000000,65703682.180000,4143995656.250000,4144751000.000000,0.015934,35.091090,2016-06-30,2016-08-27,109.117109,8.289563,12.456427,2.828079,11.510000
sz000979,2016-10-18,2.720000,2.760000,2.720000,2.750000,0.007326,42789850.000000,117256006.570000,12671842284.750000,16481538070.250000,0.009286,29.043239,2016-06-30,2016-08-31,-29.450507,-16.793791,-13.070839,1.688463,2.750000
sz000981,2016-10-18,9.860000,9.920000,9.800000,9.900000,0.004057,7724810.000000,76102156.720000,25485724430.099998,25512454440.000000,0.003001,41.372446,2016-06-30,2016-08-27,9.072714,0.554960,1.309225,0.865983,9.900000
sz000982,2016-10-18,5.300000,5.390000,5.290000,5.380000,0.013183,10077220.000000,53898478.200000,6961355058.460000,9711132841.020000,0.007788,90.993191,2016-06-30,2016-08-30,-8.224376,3.035723,-18.349813,3.163775,5.380000
sz000983,2016-10-18,9.700000,9.850000,9.630000,9.790000,0.006166,41277048.000000,401474252.000000,30850225091.400002,30850248000.000000,0.013099,60.486607,2016-06-30,2016-07-30,644.970024,1.522155,15.216536,1.876845,9.790000
sz000985,2016-10-18,26.640000,27.370000,26.600000,27.260000,0.016027,1760942.000000,47699632.480000,3533972770.000000,3533972770.000000,0.013583,33.367784,2016-06-30,2016-07-27,16441.495778,4.475747,80.071671,7.159365,27.260000
sz000988,2016-10-18,17.380000,17.700000,17.320000,17.660000,0.017281,13263004.000000,232877094.200000,15737119703.459999,15737119721.120001,0.014884,176.550932,2016-06-30,2016-08-12,87.837098,6.007559,49.473608,5.169033,17.660000
sz000989,2016-10-18,24.790000,25.500000,24.680000,25.390000,0.020498,2626726.000000,66034168.960000,6251552662.620000,22072904052.040001,0.010668,102.620024,2016-06-30,2016-07-29,36.024711,22.023585,63.840487,5.826602,25.390000
sz000993,2016-10-18,10.950000,11.140000,10.860000,11.080000,0.000000,24079387.000000,264601844.440000,4132840000.000000,4132840000.000000,0.064556,20.129716,2016-06-30,2016-08-31,54.945055,4.540911,14.805194,2.611975,11.080000
sz000995,2016-10-18,15.470000,15.670000,15.190000,15.640000,0.015584,4191941.000000,64830156.720000,2774621222.360000,2774661120.000000,0.023629,26.356626,2016-06-30,2016-08-26,-887.829246,26.546720,-18.955508,25.295164,15.640000
sz000996,2016-10-18,22.960000,24.070000,22.850000,24.000000,0.042119,17491932.000000,412486311.930000,5520000000.000000,5520000000.000000,0.076052,64.853033,2016-06-30,2016-08-30,574.465029,-28.598154,-519.863103,9.229704,24.000000
